" ","StudentComments","Rating","totalwords","Sentiment"
"0","good","4.96","1","positive"
"1","good","5","1","positive"
"2","teacher","4.25","1","positive"
"3","friendly teacher but not enough ability to encourage the student","4.38","10","positive"
"4","teacher","4.92","1","positive"
"5","he is a good techer.","5","5","positive"
"6","he is a good techer.","5","5","positive"
"7","he is agood techer.","4.81","4","positive"
"8","teacher","4.75","1","positive"
"9","teacher","4.75","1","positive"
"10","teacher","4.7","1","positive"
"11","teacher","4.7","1","positive"
"12","he is a good teacher","5","5","positive"
"13","above all our teacher is a model one.","4.75","8","positive"
"14","excellent teacher. great teacher","5","4","positive"
"15","have excellent attitude,understandable teaching mathod.all in all he is a great teacher.","3.88","12","positive"
"16","he is very good for our study on this subject .","4.04","11","positive"
"17","he is a good teacher.","4.54","5","positive"
"18","he is a good teacher","3.63","5","positive"
"19","he is a good teacher and i like him very much.he is my best teacher","4.49","15","positive"
"20","he is a very good teacher","5","6","positive"
"21","he is a very good teacher .","5","7","positive"
"22","he is efficient and better in his learning process.he is very helpful for all students","4.5","15","positive"
"23","he is great and honest.","3","5","neutral"
"24","he is the best.","4.83","4","positive"
"25","he is the well known techer. i like him so much","4.42","11","positive"
"26","he is very good teacher. his teaching standard is also high.","4.42","11","positive"
"27","i want him as a faculty in managerial accounting.","4.17","9","positive"
"28","mr. mohiuddin is an excelent teacher.","5","6","positive"
"29","a perfect teacher","4.83","3","positive"
"30","good.give more exam[le about lesson","3.92","5","positive"
"31","he has a fair grading system, and helps improve our standard in the subject.","4.71","14","positive"
"32","he is a good teacher .he always help us and try to solve our problem .","4.58","16","positive"
"33","he is a really a good teacher","4.92","7","positive"
"34","he is a really a good teacher","4.83","7","positive"
"35","he is a very active teacher.","4.83","6","positive"
"36","he is an nice teacher.i am very glad to learn from him.","3.58","12","positive"
"37","he is such a teacher for whom accounting became 1 of my fevourit subject. thanks to him","5","17","positive"
"38","he is taking his 13th semester in aiub. surely he will take the 14th semester also.","3.38","16","neutral"
"39","he tries his best and also verypuntual","4.83","7","positive"
