index,text,sentiment
9383,eating breakfast  getting ready to go to school ;(,negative
19455,Going to fold laundry and then hit the sack. I have boring saturday evenings,negative
20298,happy mothers day to all   im off to spend the day with my family,positive
14934, one of my favorite quotes ever,positive
18879," yeah, that was my point >.< please dont make me feel worse than i do",negative
517, He says he feels mama tucking him in at night  He`s lonely but getting by. Tomorrow will be tough!,negative
10644,I hate being young,negative
21594,  not Pimm`s in a can?,neutral
8037, I like the last part in your methodology.,positive
8494,I wish I was laying in the sand listening to the waves crash against the shore!!!,positive
2826, sounds like the muffler bearings are going bad,negative
25339, cupcake!!  you can call me anything but 'bitch' i suppose..and even then under certain circumstances....,negative
10925,_always3 okay well thank you you are so beautiful too,positive
12896," i would, but i don`t know how to do it from the phone...",neutral
21831,At the DMV uhhhg!,neutral
5701,Digiqom welcomed new team members in the company today,positive
26041,Class until 9:30  yes on a Friday night...,neutral
4793, my keys were cracking and ****. I kind of miss my old phone already.,negative
2972,someone WOULD give a speech about loved ones in the hospital. Stupid COMM class,negative
7448,feeling really dizzy  not soo good,negative
470,Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,positive
7838, eh...I might drive through Chi-town on my way to Colorado....maybe I`ll get one then.,neutral
10233, I wish I was in va too,positive
10899,live now! but nobodys there!,neutral
9940,i wanna move back to Pennsylvania,neutral
7451,Loved the sun today. Did not love a black suit and black top plus 6 trains/tubes to get to my meeting and back  Need to shop for summer,positive
19711," did you see Star Trek yet?  i`ve seen it, twice already! i didn`t like it the first time, the second time was way better!!! hahaha",neutral
13594, there is no sale in Botega...,neutral
19192,"i like this new trend ,  who`s next ? http://tinyurl.com/qcy8d4",positive
20160," Haha yes I do  it`s hard work, too! I didn`t get home until 3:00 AM, not like I sleep haha.",neutral
17220,wishes Happy mother`s day to all mothers!!!,positive
18476, Good! I hope that it was a wonderful experience!,positive
18074," Well, in LA is decent weather. Tell me what`s happening in the future",positive
20340,"Boa tarde, chegay",neutral
8000,Fender is hiding under the couch ... he knows I`m getting ready to leave and he isn`t happy about it,negative
13064,"ya know why today sucks? its been raining, we have no $, & no possibility of a magic friday.  so whats goin down tonight?",negative
17816, aaahh i know!! i was spose to but i had to take my dad to the airport.  next weeek fasho!,neutral
8052," ..ok brother...did you change your num and not give it to me, AGAIN??? smh..you no good dude",negative
17000," Not a problem,  Glad to!",positive
45,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
22349, haha... sorry  she should be in the whole like two people  follows,negative
9764,  still no direct message for me. what the hell am I complaining about? i`ll c ya in 27. if u don`t answer i`ll ask in 5*.,negative
13700,t`internet on blackberry fooked so no checking of the tweets and whether phill has taken up my request,neutral
1377,Its 11:11...make a wish!,positive
560, Yes! Join us! All we require is a cupcake donation...,neutral
9739,is having this massive headache! and all i want to do is eat some nachos..,negative
15635," yes, actually, I am. When I`m home, moms does the laundry & I do the babysitting. She broke something that didn`t need 2 b fixed",neutral
18143,Buying my first mac,neutral
17485,Good morning friends. Happy May Bank Holiday.,positive
4247,Time to do house chores! Ugh!,negative
22790," oh, sorry to hear about this too  sad",negative
6317, are you having any problems sending images from Twitterberry  mine just doesn`t want to work ! ****,negative
27106,"Yes, Rays beat the Red Sox 14-5",neutral
11311, Sounds Fun!,positive
14793, Oh yah! My dad does that. But I don`t have a landline.,positive
5094,SMH @ PPL WHO ONLY TWIT U UP ON FRIDAYS B/C U GOT 100+ FOLLOWERS AND THEY`RE STILL BANKING 15-20  #NOFAKERY,neutral
14528, I`m absolutely jealous as hell of Brenda,negative
23106, am I not good enough,negative
26553,in media still havnet found ipod,neutral
1362,had my last class with Scott and Julie today  going to miss them... they bought me a bottle of champagne as a congratulatory gift.,neutral
20461,_Milano Hey there  Thought i`d tweet you to say Hi..I have so much to write but theres no space in this little box hehe ****,neutral
19002,up odee early qot a call from some1 who I haven`t heard from in a very lonq time,neutral
24961,I think I love a part of me saying some cynical words. Even though I smile when I say them. Do you think it`s bad?,positive
19926,making my mom a mothers day card,neutral
26039,Just got home from work.. My feet are killing me,negative
1603,"spent a little too much $ at Wombat, but it`s cool `cuz it was time to take care of Tamara good.  YAY!",positive
22787,"Headed home, dad duty tonight. Might take the kids to the course again. Although my boys took me for $11 last night in a chipping contest",neutral
5954, It didn`t start as a long message ... It just got longer when I wrote it,neutral
14364, you`re in London?! Wow! I`m near there,positive
11148,just came bak from dancing with my NEEWWWW cd  haha im dancing again,positive
9413,Help. My computer has a virus. I had to place my Etsy shop into vacation mode until I can sort this out. I don`t know WHAT to do!,negative
2930, and that prob wont happen....,neutral
3638, and the download failed  My phone does not like your phone.,negative
156, me neither,neutral
2395,my back hurts  have a heating pad on it... stupid ladder y did you have to collapse and make me fall on my back/bum???,negative
11277, One of the fake 'you's followed me. Haha. I so wish it would be you instead!,positive
25791," Thanks, Wookie-man.  I test stuff out on you. lol",positive
4965,BEP KILLED IT! Oh and leighton meester waved at us!,negative
12021, Yeahhh you do that lol,neutral
25011,"gonna head to bed then work, then moncton to see Jill",neutral
14403,awake  slept in a little cuz no construction. now studying bio alllll day but i dont mind.,neutral
19584,My girl needs a hug! She lost here cell phone,neutral
14271,Headed to see friends new baby. Gave up trip to the lake cause of dance class. Such a good mama.,positive
6206,I gots the sniffles,neutral
18759, ok - thats enough!,neutral
3243, Thanks for the concern. And checking up on me! Much appreciated,positive
24782,heading out to dinner in a minute - cant wait to have food.,positive
12422,i am letting you read this.......,neutral
9759,"i hate working, especially when the weather is good",negative
18554,At work I don`t like today its nasty outside  can`t wait to get home today and clean my house!,negative
4557," right my fellow fluffy flasher! I must go to bed, sorry  I hope everything is working properly 2moro and we can chat! love u x",neutral
5679,Ugh..  this sucks.,negative
12706,Had a good day 2day!  off to bed. Nite tweeps.,positive
19186, zombie wrangler sounds like fun. I don`t have halo wars.,positive
4538,"@_refugee_ /me gets 'Your video will start in 15 seconds', Exiting to watch ... for minutes  #flash #linux #fail",neutral
22778,"Sometimes, twitter makes me feel like an outsider..",negative
22361,My car is broken.,negative
7126,its getting really windy out there,neutral
11951,just got back from the Sing It Loud concert // **** AMAZING,positive
10013,Well - looks like Hurdle is out.,neutral
17925,I need some plugs. for real. my ears want to stretch. and I have no money,negative
13223," Thank you good sir, it has been a surprisingly good afternoon, very productive",positive
15658,"MIT bookstore has best book selection, but it`s the one bookstore I have no coupons or discounts for",positive
16255,"_Kookie girl,rain is my song forrealll!!!",neutral
6151, Yay! You finally get to have a trip away from home again! How exciting! You 2 going to shop a bit ?,positive
25063," I jus spoke 2 my lawyer, if I blow trial =3to7",neutral
3861, maybe i`ll go one day and thanks i`m all swined out,positive
15157, No. Its a bug  in coding. Go into the forum then do reg. Let me know if that work!,negative
16641,#jonaswebcast i just missed it!!!!,negative
9999,Lookin` at spreadsheets so long my eyes are crossing...,negative
883,"__buckley Good for you mate, sadly I couldnt get pissed tonight **** driving bad times",positive
3832,just hanging around the house. Thank god its friday. With nina &  later and working on a global project,positive
14708, im following because of   yaaaaaay conor!,neutral
13682,"Awake, no migrane (yey) but tummy is hurting, evil IBS",negative
18551,Im on my way to brookings,neutral
15806,having coffee with bread. peanut butter today!,neutral
20406, yeeeeah . . . and it was in intro too  seen Empire top 100 computer games? http://www.empireonline.com...,neutral
14582, Yes - noticed that after the retweet..,neutral
11464, LMAO i want him to reply  booooo you  REPLY TO ONE OF US lmfaoooo,neutral
7806, you will be great! Have a wonderful first day,positive
6225,"mmm... hot chocolate, ugboots and topgear... life is good.",positive
3046,@_NewAmerykah_ im alllllllllllllllllllllllllllll about that... a **** woke up late... didnt get my breakfast (wakenbake),neutral
14844,"  i know the feeling, working so much sucks hardcore. we need to hang out soon",negative
15333,Working working and working at www.redirlanda.es. Many hours spent but it worth!! LetÃ¯Â¿Â½s make Red Irlanda big,positive
15976," Yep, I`m more of a facebook person  http://bit.ly/duFAz",neutral
14481,had a nice brunch by the bay.. Thank God for Mommies!,positive
1738,My attempts at writing tonight seem to be failing.,negative
21097,"Ps BGT was both fab and sad, I thought Greg was awesome, sad he`s gone but a child will always win in that situation sadly",neutral
3543,my bf had to go to her dads for the week end. i will have 2 full days of bordom.,negative
21833,@ Pretty_Mess you missed all the free shots,neutral
22140,Still up playin rock band woot woot,neutral
21205, LOL  I know what ya mean. Watching everyone else act a fool is much better the  not remembering acting a fool yourself,positive
4068,Nite nite my fellow tweeters goin to put ma ipod in n listen to some westlife missin those guys  then headin to sleep early start  7am x,neutral
14619,"WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?",positive
23632, you are welcome  `s book is a good reminder as to WHY we escaped the cube!,positive
2202,"'suprised' mom with a cake and a present, because it`s mother`s day!  dad had bought flowers. : >",positive
11918," thanks ALOT, stuck at work with it too",positive
1006,I`m either always on the train or at work,neutral
